Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization ZIP Code,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,Complete County Name,County Equivalent Name
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-006787,FOREST HILL MANOR,25 Bolduc Ave,Fort Kent,04743-1601,207-834-3915,N/A,6,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.58883833,47.26431148,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-011120,ALPHA Program - Brewer High School,261 Center St,Brewer,04412-1900,207-992-2456,,10,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.75910228,44.79198775,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-032646,DFD RUSSELL MEDICAL CENTER - BRIDGTON,25 Hospital Dr,Bridgton,04009-1167,207-647-2311,,37.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,04263-3418,-70.7152861,44.04618679,Y,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-028291,CCS Behavioral at CMCC,1250 Turner St,Auburn,04210-6436,207-755-5100,,30,2,School,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.2308991,44.13224752,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-014488,Franklin Towers Health Center,211 Cumberland Ave,Portland,04101-4935,207-874-2141,,12,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.25612142,43.66155349,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-030113,School-Based Health Center-Van Buren,169 Main St,Van Buren,04785-1248,207-834-3971,frrh.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-67.94111235,47.16071208,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-018173,Downeast School - PCHC Dental,100 Moosehead Blvd,Bangor,04401-2367,207-941-6240,pchc.com,16,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.82042797,44.83943431,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00642,013280,BPS-H80-002687,DFD RUSSELL MEDICAL CENTER - TURNER,7 Main St,Turner,04282-4138,207-524-3501,www.dfdrussell.org,47.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,DFD RUSSELL MEDICAL CENTER INC,180 Church Hill Rd,Leeds,04263-3418,-70.25973469,44.24458057,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-018634,Madawaska Community Health Center,309 Saint Thomas St,Madawaska,04756-1278,207-728-4779,www.frrh.org,41.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.32774574,47.35480209,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-019299,Greater Portland Health Oxford Street,234 Oxford St,Portland,04101-3029,207-874-2141,,45,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.26139875,43.65919038,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00150,010380,BPS-H80-002635,REGIONAL MEDICAL CENTER CALAIS,5 Lowell St,Calais,04619-1712,207-454-1491,www.rmcl.org,40,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,REGIONAL MEDICAL CENTER AT LUBEC ME INC,43 S Lubec Rd,Lubec,04652-3620,-67.27940437,45.18775208,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-030572,Katahdin Valley Health Center Island Falls,1300 Crystal Rd,Island Falls,04747-4369,207-538-3700,www.kvhc.org,40,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.29277292,46.00677212,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-006491,KVHC Mill Pond Elementary School,147 Hodgdon Mills Rd,Hodgdon,04730-4277,207-538-3700,www.kvhc.org,4,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-67.86282076,46.0568412,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-013395,Jackman Community Health Center,376 Main St,Jackman,04945-5214,207-668-4300,http://www.pchcbangor.org,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-70.25007362,45.62109208,Y,Somerset County,Somerset
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-002198,MT. ABRAM REGIONAL HEALTH CENTER,25 Depot St,Kingfield,04947-4208,207-265-4555,www.healthreachchc.org,50,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-70.1571609,44.95805404,Y,Franklin County,Franklin
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-003161,HAN Enfield,47 Bridge St,West Enfield,04493-4526,207-794-6700,www.hanfqhc.org,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.64715358,45.23763313,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-006342,VINALHAVEN SCHOOL,22 Arcola Ln,Vinalhaven,04863-4014,207-863-4800,none,2,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,2,Seasonal,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,04863-4119,-68.82202791,44.04837635,Y,Knox County,Knox
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-004660,MIGRANT VOUCHER & MOBILE MED VAN CENTRAL & WESTERN,9 Green St,Augusta,04330-7451,207-622-9252,www.mainemigrant.org,20,7,All Other Clinic Types,1,Active,5,Mobile Van,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-69.77644094,44.31281438,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-004734,Katahdin Valley Health Center Millinocket,50 Summer St,Millinocket,04462-1400,207-538-3700,www.kvhc.org,55,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.70841121,45.65576425,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021510,KVHC Granite Street School,191 Granite St,Millinocket,04462-1300,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.70462485,45.65331979,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021661,KVHC Medway Middle School,25 School St,Medway,04460-3152,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.53030692,45.60865098,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-004765,RANGELEY FAMILY MEDICINE,42 Dallas Hill Rd,Rangeley,04970-4032,207-864-3303,www.healthreachchc.org,42.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-70.63497766,44.95437694,Y,Franklin County,Franklin
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021006,Greater Portland Health at Harrison Lyseth Elementary School,175 Auburn St,Portland,04103-2131,207-874-8215,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.28576897,43.70788899,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-000702,HAN MEDWAY ,1930 Medway Rd,Medway,04460-3166,207-794-6700,www.hanfqhc.org,45,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.52778526,45.61153226,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00591,010340,BPS-H80-024543,Bucksport Middle School,100 Miles Ln,Bucksport,04416-4668,207-469-7371,,32,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Bucksport Regional Health Center,110 Broadway,Bucksport,04416-4612,-68.77557582,44.58087443,Y,Hancock County,Hancock
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-005207,United Cerebral Palsy of Northeastern Maine,700 Mount Hope Ave Ste 320,Bangor,04401-5680,207-945-5247,,1,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.73604182,44.82336897,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS02448,015170,BPS-H80-019755,Sebasticook Family Doctors d/b/a HOMETOWN Health Center,118 Moosehead Trl Ste 4,Newport,04953-4056,207-368-4213,hhcme.org,,7,All Other Clinic Types,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,04953-4056,-69.28074181,44.84163288,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019317,KVHC Katahdin Elementary School,805 Station Rd,Stacyville,04777-4108,207-538-3700,www.kvhc.org,8,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.438655,45.92549133,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017569,CCS Behavioral at Mollison (Room A),15 Mollison Way,Lewiston,04240-5805,207-777-4440,http://www.stmarysmaine.com/Our-Providers/st-marys-center-for-family-medicine-at-mollison-way.html,30,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.19881343,44.12473327,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-033927,Bangor School Department School-Based Health Center,855 Broadway,Bangor,04401-2916,207-404-8000,,40,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.78434564,44.82880979,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-032269,PCHC Bridge Clinic,992 Union St STE 3,Bangor,04401-3057,207-992-9200,,50,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.80749654,44.81485073,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00526,013470,BPS-H80-033130,Temporary Site- Calais Blue Devil Health,35 Blue Devil Hl,Calais,04619-4037,207-796-5503,,40,7,All Other Clinic Types,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,St Croix Regional Family Health Center,136 Mill St,Princeton,04668-3344,-67.24301681,45.16445566,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019530,KVHC Penquis Valley Schools,48 Penquis Dr,Milo,04463-1033,207-538-3700,www.kvhc.org,8,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.99592843,45.25183342,Y,Piscataquis County,Piscataquis
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-008910,Brewer Medical Center,735 Wilson St,Brewer,04412-1000,207-945-5247,http://www.pchcbangor.org/index.htm,72,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.73044891,44.77427926,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS06657,010450,BPS-H80-006643,MATINICUS VIA TELEMEDICINE,SUNBEAN DOCKED @ MATINICUS WHF,Matinicus,04851,207-366-3453,none,2,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"ISLANDS COMMUNITY MEDICAL SERVICES, INC.",15 Medical Center Loop,Vinalhaven,04863-4119,-68.88741999,43.86513,Y,Knox County,Knox
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-029759,School Based Health Center Mobile Unit,3 Mountainview Dr,Fort Kent,04743-1614,207-834-3971,www.frrh.org,40,2,School,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.59172129,47.26810857,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-001030,BREWER REHAB & LIVING CENTER,74 Parkway S,Brewer,04412-1628,207-989-7300,,38,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.75460916,44.78134215,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-004309,CAPEHART COMMUNITY HEALTH CENTER,86 Davis Rd,Bangor,04401-2311,207-992-2205,,48.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.82075897,44.84488565,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-004223,LOVEJOY HEALTH CENTER,7 School St STE 1,Albion,04910-6501,207-437-9388,www.healthreachchc.org,50.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.44153664,44.53027188,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-007281,PHILIPS-STRICKLAND HOUSE,21 Boyd St,Bangor,04401-6560,207-941-2820,,6,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.76253936,44.80431942,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS08769,0115570,BPS-H80-000760,PINES Presque Isle FAMILY HEALTH CENTER,66 Spruce St STE 4,Presque Isle,04769-3241,207-769-2025,www.pineshealthservices.org,50,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Pines Health Services,74 Access Hwy,Caribou,04736-3807,-68.00705295,46.69832389,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-034163,Katahdin Valley Health Center Dover,48 E Main St,Dover Foxcroft,04426-1323,207-538-3700,,32,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-69.22891885,45.18387617,Y,Piscataquis County,Piscataquis
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-032026,Katahdin Valley Health Center Lincoln,53 Transalpine Rd FL,Lincoln,04457-4223,207-538-3700,kvhc.org,32,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.51386732,45.34583185,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019084,KVHC Southern Aroostook Community School,922 Dyer Brook Rd,Dyer Brook,04747-5028,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.18427597,46.08678195,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS25680,01E01028,BPS-H80-021127,Greater Portland Health at Peaks Island School,4 Church Ave,Portland,04108-1157,207-766-2528,,1,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Portland Community Health Center,180 Park Ave STE 1,Portland,04102-2927,-70.1969047,43.66061765,N,Cumberland County,Cumberland
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-002691,STRONG AREA HEALTH CENTER,177 N Main St,Strong,04983-3005,207-684-4010,www.healthreachchc.org,52.25,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-70.21736861,44.81954296,Y,Franklin County,Franklin
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-001618,BELGRADE REGIONAL HEALTH CENTER,4 Clement Way,Belgrade,04917-4370,207-495-3323,www.healthreachchc.org,46.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.86611708,44.50398757,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-013413,Katahdin Valley Health Center Ashland,33 Walker St,Ashland,04732-3429,207-538-3700,www.kvhc.org,50.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.39187191,46.62817566,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-015631,KVHC Brownville,180 Main Rd,Brownville,04414-3107,207-538-3700,www.kvhc.org,48,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-69.03388479,45.30338451,Y,Piscataquis County,Piscataquis
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-015219,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,207-538-3700,www.kvhc.org,53,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.45273626,45.95856196,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-006232,DIRIGO PINES RETIREMENT COMM.,9 Alumni Dr,Orono,04473-3479,207-866-7011,,16,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.68971839,44.86922569,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-019458,MIGRANT VOUCHER & MOBILE MEDICAL VAN STATEWIDE,9 Green St,Augusta,04330-7451,207-622-9252 x1,www.mainemigrant.org,25,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-69.77644094,44.31281438,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009910,B Street Health Center,57 Birch St,Lewiston,04240-7415,207-753-5400,www.communityclinicalservices.com,60,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.21144336,44.09286364,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009907,Lewiston Middle School-Based Health Center,75 Central Ave,Lewiston,04240-6031,207-795-4180,www.communityclinicalservices.com,40,2,School,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.20271034,44.10267499,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-007170,MIGRANT VOUCHER & MOBILE MEDICAL VAN NORTHERN ME,9 Green St,Augusta,04330-7451,207-622-9252,www.mainemigrant.org,30,7,All Other Clinic Types,1,Active,5,Mobile Van,3,Administrative/Service Delivery Site,1,Health Center/Applicant,2,Part-Time,2,Seasonal,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-69.77644094,44.31281438,Y,Kennebec County,Kennebec
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-008928,Health Access Network Lincoln,175 W Broadway,Lincoln,04457-4000,207-794-6700,,50,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.52218091,45.36056615,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00443,010040,BPS-H80-031468,Temporary Site - Ramada Inn,357 Odlin Rd,Bangor,04401-6703,207-620-1406,,40,7,All Other Clinic Types,1,Active,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Maine Mobile Health Program, Inc",9 Green St Ste 1,Augusta,04330-7451,-68.81229744,44.78815399,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-006729,MSAD #70 Hodgdon High School,174 Hodgdon Mills Rd,Hodgdon,04730-4278,207-538-3700,www.kvhc.org,4,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-67.86444509,46.05422475,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-027792,Penobscot Pediatrics,6 Telcom Dr,Bangor,04401-3072,207-992-9200,,72,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.81233809,44.81754145,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00630,010570,BPS-H80-004827,EASTPORT HEALTH CARE,55 Franklin St,Calais,04619-1301,207-454-3022,http://www.eastporthealth.org,32,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Eastport Health Care Inc,30 Boynton St,Eastport,04631-1306,-67.26910407,45.18089842,Y,Washington County,Washington
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-005466,BINGHAM AREA HEALTH CENTER,237 Main St,Bingham,04920-4015,207-672-4187,www.healthreachchc.org,51.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.88211227,45.05266842,Y,Somerset County,Somerset
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019496,KVHC Houlton Southside School,65 South St,Houlton,04730-1550,207-538-3700,www.kvhc.org,8,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-67.84669742,46.11137454,Y,Aroostook County,Aroostook
